"Components of population change (persons), Queensland, June quarter 1981 to September quarter 2023 (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Natural increase,Net overseas migration,Interstate arrivals,Interstate departures,Net interstate migration,Population change (b),Estimated resident population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,– persons –,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-18,"7,644","7,546","30,583","24,749","5,834","20,668","5,006,623",0.008290488,,$360,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-18,"6,959","9,596","26,923","22,040","4,883","20,920","5,027,543",0.00835693,,$360,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-18,"7,181","5,258","36,481","29,527","6,954","18,891","5,046,434",0.007515003,15.43419241,$370,0.008851852,2.568201724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-19,"7,908","11,294","31,624","26,435","5,189","23,872","5,070,306",0.009460938,15.43891173,$370,0.007,2.568201724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,"7,832","5,601","32,045","26,425","5,620","18,541","5,088,847",0.007313563,15.44256184,$365,0.006099099,2.562292864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-19,"6,416","10,440","28,434","22,836","5,598","21,693","5,110,540",0.008525703,15.44681563,$365,0.007,2.562292864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-19,"6,808","6,580","35,705","29,157","6,548","19,201","5,129,741",0.007514274,15.45056573,$380,0.009739726,2.579783597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,"7,273","12,468","25,423","19,843","5,580","24,564","5,154,305",0.009577092,15.45534285,$380,0.007,2.579783597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-20,"7,542","-1,514","25,072","19,039","6,033","11,308","5,165,613",0.004387788,15.45753434,$370,0.005245614,2.568201724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-20,"6,978","-6,781","20,213","11,274","8,939","7,458","5,173,071",0.002887557,15.45897707,$385,0.009702703,2.58546073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-20,"6,303","-5,172","27,444","15,652","11,792","11,258","5,184,329",0.00435254,15.46115098,$395,0.008731602,2.596597096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-21,"8,517","-1,701","25,692","15,602","10,090","15,219","5,199,548",0.005871155,15.46408226,$400,0.007843882,2.602059991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-21,"7,736",808,"33,204","23,802","9,402","16,266","5,215,814",0.006256698,15.46720572,$385,0.0045,2.58546073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-21,"6,998","-1,486","48,972","35,042","13,930","19,442","5,235,256",0.00745502,15.4709263,$415,0.012194805,2.618048097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-21,"6,524","1,593","39,737","22,098","17,639","25,756","5,261,012",0.009839442,15.47583396,$430,0.009409639,2.633468456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-22,"6,764","15,934","30,982","20,436","10,546","33,244","5,294,256",0.012637873,15.48213302,$430,0.007,2.633468456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-22,"6,439","13,581","27,312","20,647","6,665","26,685","5,320,941",0.010080737,15.48716073,$450,0.010100775,2.653212514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-22,"4,947","18,994","22,365","15,312","7,053","30,994","5,351,935",0.011649819,15.49296874,$450,0.007,2.653212514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-22,"5,570","18,322","32,428","22,147","10,281","34,173","5,386,108",0.012770334,15.4993336,$485,0.012185185,2.685741739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-23,"5,968","25,369","26,559","19,488","7,071","38,408","5,424,516",0.014261875,15.50643924,$490,0.007687285,2.69019608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-23,"5,737","22,317","26,583","18,733","7,850","35,904","5,460,420",0.013237679,15.51303627,$510,0.009721088,2.707570176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-23,"5,735","21,946","24,441","17,018","7,423","35,104","5,495,524",0.012857619,15.5194445,$530,0.009614379,2.72427587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a) The status of quarterly ERP data changes over time from preliminary to revised to final as new component data becomes available. Refer to the Status of quarterly ERP data in the explanatory notes in ABS National, state and territory population for further details. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) Totals prior to June 2021 do not match the sum of the components due to intercensal adjustments made by the ABS. For further information see explanatory notes in ABS National, state and territory population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Population statistics are impacted by the COVID-19 pandemic and the resulting Australian Government closure of the international border from March 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The latest ERP is based on adjusted 2021 Census counts, updated with quarterly estimates of births, deaths, overseas and interstate migration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: ABS National, state and territory population, Sep 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
